Tipo de Movimiento;Planta;GUIA SII;Fecha;Mes;ID;Proveedor;Lote;Title;Nombre;Cod Nombre;Clasificacion;Total Pallet;Cantidad;Unidad de medida;Bod. Origen;Bod. Destino;Ubicacion Origen;Ubicación Destino;Turno;Responsable;Temporada;Observacion;Bodega Stock;Ubicacion Stock;Total Stock;Numero Embarque;Patente Camion,,,,,,
Despacho;Rancagua;30353;11-04-2024;11;4586;;RKMDEV25304;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;32;10,752;UNIDAD;RANCO;SUPERFRUIT;CARPA UNO (C1);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA UNO (C1);-10,752;;,,,,
Despacho;Rancagua;15242;11-05-2024;11;4753;;RKMDEV25309;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;30;10,08;UNIDAD;RANCO;SUPERFRUIT;CARPA UNO (C1);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA UNO (C1);-10,08;;,,,,
Despacho;Rancagua;15242;11-05-2024;11;4757;;RKMDEV25310;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;2;672;UNIDAD;RANCO;SUPERFRUIT;CARPA UNO (C1);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA UNO (C1);-672;;,,,,,,
Despacho;Rancagua;30369;11-05-2024;11;4906;;RKMDR24310;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;32;10,752;UNIDAD;RANCO;SUPERFRUIT;CARPA UNO (C1);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA UNO (C1);-10,752;;,,,,
Despacho;Rancagua;30379;11-06-2024;11;5165;;GBPLANTA24;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Guagua;1;1,962;UNIDAD;RANCO;MERQUEN;CARPA DOS (C2);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA DOS (C2);-1,962;;,,,,
Despacho;Rancagua;30379;11-06-2024;11;5215;;RG2525047;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Guagua;1;6,15;UNIDAD;RANCO;MERQUEN;CARPA DOS (C2);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA DOS (C2);-6,15;;,,,,
Despacho;Rancagua;30431;11-09-2024;11;6265;;CTAB1105;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Por armar;1;120;UNIDAD;RANCO;CHIMBARONGO;CARPA DOS (C2);BODEGA PLANTA;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;CARPA DOS (C2);-120;;,,,,,,
Despacho;Rancagua;14307;11/15/2024;11;7883;;RM2BCP24316;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Armado;8;4,8;UNIDAD;RANCO;CENTRO ARMADO;CARPA UNO (C1);CENTRO ARMADO;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;CARPA UNO (C1);-4,8;;,,,,
Despacho;Rancagua;14307;11/15/2024;11;7885;;RG224253;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Guagua;2;9,6;UNIDAD;RANCO;CENTRO ARMADO;CARPA UNO (C1);CENTRO ARMADO;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;CARPA UNO (C1);-9,6;;,,,,
Despacho;Rancagua;14307;11/15/2024;11;7888;;RM2DEV24313;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Armado;1;600;UNIDAD;RANCO;CENTRO ARMADO;CARPA UNO (C1);CENTRO ARMADO;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;CARPA UNO (C1);-600;;,,,,,,
